Recipes,Calories,Fats,Proteins,Carbohydrates,Fiber,Ingredients,Steps
Grilled Chicken Salad,320,12,35,15,5,"Chicken, Lettuce, Olive Oil","Grill chicken until fully cooked, slice, and toss with lettuce and olive oil."
Vegetable Stir Fry,250,8,12,30,7,"Broccoli, Bell Peppers, Soy Sauce",Stir-fry vegetables in a pan with soy sauce until tender but crisp.
Quinoa Salad,270,10,9,40,8,"Quinoa, Tomatoes, Cucumbers","Cook quinoa, let it cool, and mix with chopped vegetables."
Spaghetti Bolognese,520,20,30,60,5,"Spaghetti, Ground Beef, Tomato Sauce","Cook spaghetti, prepare meat sauce, and combine before serving."
Avocado Toast,210,14,8,25,6,"Avocado, Bread, Lemon",Mash avocado with lemon juice and spread over toasted bread.
Chicken Curry,450,18,32,35,4,"Chicken, Spices, Coconut Milk","Cook chicken with spices, add coconut milk, and simmer until thickened."
Vegan Buddha Bowl,350,15,14,45,10,"Chickpeas, Avocado, Spinach",Arrange all ingredients in a bowl and drizzle with dressing.
Omelette,300,20,22,5,0,"Eggs, Cheese, Onions","Beat eggs, pour into a pan, add cheese and onions, and cook until set."
Fish Tacos,400,22,24,28,3,"Fish, Tortillas, Cabbage","Cook seasoned fish, assemble in tortillas with cabbage."
Beef Steak,600,25,42,0,0,"Beef, Garlic, Olive Oil",Sear steak in olive oil with garlic until cooked to desired doneness.
Mushroom Risotto,450,18,12,50,2,"Mushrooms, Rice, Parmesan","Sauté mushrooms, cook rice with broth, and stir in cheese."
Caesar Salad,290,12,18,12,4,"Lettuce, Croutons, Caesar Dressing",Toss lettuce with croutons and Caesar dressing.
Chickpea Stew,330,8,15,40,10,"Chickpeas, Carrots, Spices",Cook chickpeas and carrots in spiced broth until tender.
Tofu Stir Fry,340,9,16,30,8,"Tofu, Vegetables, Soy Sauce","Sauté tofu, add vegetables, and stir-fry with soy sauce."
Chicken Alfredo,560,25,34,45,2,"Chicken, Alfredo Sauce, Pasta","Cook pasta, grill chicken, mix with Alfredo sauce."
Turkey Sandwich,420,15,22,35,4,"Turkey, Bread, Lettuce",Layer turkey and lettuce between bread slices.
Lentil Soup,280,5,10,35,12,"Lentils, Carrots, Onions",Cook lentils and vegetables until tender.
Sweet Potato Fries,350,18,5,40,6,"Sweet Potatoes, Olive Oil, Spices","Cut sweet potatoes, toss in olive oil and spices, bake until crispy."
